辯中邊論卷上	(Madhyāntavibhāga-bhāṣya), first scroll
論曰：於因、果、用若無增益及無損減，是緣起義。	The meaning of dependent origination is neither reification nor negation in regard to cause, effect, and activity.
應知此中增益因者，執行等有不平等因。	One should understand that here reification of cause refers to grasping to the idea that the formations, etc., have inconsistent causation (i.e., they are nothing but chance occurrences).
損減因者，執彼無因。	Denial of cause means grasping to the idea that they are without causation.
增益果者，執有我行等緣無明等生。	Reification of effect refers to grasping to the idea that the conditions for formations, such as selfhood, etc., are produced from ignorance, etc.
損減果者，執無明等無行等果。	Denying effect would refer to grasping to the idea that ignorance, etc. do not produce effects such as the formations, etc.
增益用者，執無明等於生行等有別作用。	Reification of activity is grasping to the idea that there exists a separate activity apart from ignorance, etc. that produces the formations, etc.
損減用者，執無明等於生行等全無功能。	Denial of activity is grasping to the idea that there is absolutely no efficacy of ignorance, etc. in the production of the formations, etc.
若無如是三增減執，應知彼於緣起善巧。	One should understand that those who are free from these three types of reification and negation are skilled with respect to dependent origination.
已說緣起義，處非處義云何？	Having explained the meaning of dependent origination, what is the meaning of possible and impossible? The verse reads as follows:
頌曰：   於非愛、愛、淨、   俱生及勝主、   得、行不自在，   是處非處義。	The meaning of possible and impossible is applied to inevitabilities connected to (1) the undesired, (2) the desired, (3) purity, (4) concurrent births, (5) sovereignty, (6) attainment, and (7) conduct.
論曰：處非處義略由七種不得自在，應知其相。	Commentary: The meaning of “possible and impossible” is generally derived from seven types of inevitabilities (i.e., dependent relationships). One should understand their characteristics.
一於非愛不得自在，謂由惡行雖無愛欲而墮惡趣。	unfavorable rebirths as a result of wrong actions, despite having no desire toward this end.
二於可愛不得自在，謂由妙行雖無愛欲而昇善趣。	favorable rebirths as a result of excellent behavior, despite having no desire toward this end.
三於清淨不得自在，謂不斷五蓋、不修七覺支，決定不能作苦邊際。	to bring about an end to suffering without having severed the five obstructions, nor cultivated the seven factors of awakening.
四於俱生不得自在，謂一世界無二如來、二轉輪王俱時出現。	any given world there are no two tathāgatas nor two wheel-turning kings appearing in the world at the same time.
五於勝主不得自在，謂女不作轉輪王等。	becoming wheel-turning kings and so forth.
六於證得不得自在，謂女不證獨覺無上正等菩提。	able to realize the states of pratyekabuddha or the unexcelled awakening [of a buddha].
七於現行不得自在，謂見諦者必不現行害生等事。	perceived the truths does not behave in such a way as to harm sentient beings and so forth, whereas regular beings readily behave like this.
諸異生類容可現行，《多界經》中廣說此等，應隨決了是處非處。	These matters are extensively explained in the Bahudhātuka-sūtra. One should resolutely understand what is possible and impossible.
如是已說處非處義，根義云何？	The meaning of possible and impossible having been explained thus, what is the meaning of the faculties? The verse reads as follows:
頌曰：   根於取、住、續、   用、二淨增上。	The compelling faculties are those that are involved with cognition, persistence, continuity, experience, and the two types of purity. Chapter Three Commentary:
論曰：二十二根依於六事，增上義立，謂於取境眼等六根有增上義，命根於住一期相續有增上義，男女二根於續家族有增上義，於能受用善惡業果樂等五根有增上義，於世間淨信等五根有增上義，於出世淨未知等根有增上義。	The compulsions of the twenty-two faculties are established on [the above-mentioned] six [functions]. This refers to the following: (1) compelling by the six faculties, such as the eye, etc., that cognize external objects; (2) the life faculty compels continuity to persist for a time; (3) the two sexual faculties of male and female compel the continuation of a family; (4) the five faculties of pleasure and so forth compel the capacity to experience the karmic results of positive and negative behavior; (5) the five faculties of faith and so forth compel mundane purity; (6) the [three] faculties of [coming to know] the unknown, [knowing, and of having known] compel transmundane purity.
